Distance Pot-prime Force 
1.000000 24.000000 24.000000 
1.015000 17.928654 17.928654 
1.030000 13.171468 13.171468 
1.045000 9.449156 9.449156 
1.060000 6.542902 6.542902 
1.075000 4.280857 4.280857 
1.090000 2.527753 2.527753 
1.105000 1.176897 1.176897 
1.120000 0.143980 0.143980 
1.135000 -0.637734 -0.637734 
1.150000 -1.221147 -1.221147 
1.165000 -1.648246 -1.648246 
1.180000 -1.952390 -1.952390 
1.195000 -2.160104 -2.160104 
1.210000 -2.292488 -2.292488 
1.225000 -2.366333 -2.366333 
1.240000 -2.394993 -2.394993 
1.255000 -2.389089 -2.389089 
1.270000 -2.357057 -2.357057 
1.285000 -2.305588 -2.305588 
1.300000 -2.239980 -2.239980 
1.315000 -2.164413 -2.164413 
1.330000 -2.082175 -2.082175 
1.345000 -1.995840 -1.995840 
1.360000 -1.907412 -1.907412 
1.375000 -1.818435 -1.818435 
1.390000 -1.730091 -1.730091 
1.405000 -1.643271 -1.643271 
1.420000 -1.558632 -1.558632 
1.435000 -1.476650 -1.476650 
1.450000 -1.397654 -1.397654 
1.465000 -1.321860 -1.321860 
1.480000 -1.249391 -1.249391 
1.495000 -1.180305 -1.180305 
1.510000 -1.132622 -1.132617 
1.525000 -1.093114 -1.093035 
1.540000 -1.052428 -1.052129 
1.555000 -1.011050 -1.010333 
1.570000 -0.969387 -0.968022 
1.585000 -0.927780 -0.925524 
1.600000 -0.886511 -0.883121 
1.615000 -0.845812 -0.841053 
1.630000 -0.805870 -0.799526 
1.645000 -0.766838 -0.758714 
1.660000 -0.728833 -0.718762 
1.675000 -0.691947 -0.679790 
1.690000 -0.656247 -0.641895 
1.705000 -0.621780 -0.605156 
1.720000 -0.588579 -0.569632 
1.735000 -0.556660 -0.535370 
1.750000 -0.526027 -0.502400 
1.765000 -0.496677 -0.470744 
1.780000 -0.468595 -0.440411 
1.795000 -0.441764 -0.411403 
1.810000 -0.416157 -0.383714 
1.825000 -0.391746 -0.357331 
1.840000 -0.368498 -0.332237 
1.855000 -0.346379 -0.308409 
1.870000 -0.325351 -0.285820 
1.885000 -0.305378 -0.264441 
1.900000 -0.286420 -0.244239 
1.915000 -0.268437 -0.225180 
1.930000 -0.251392 -0.207227 
1.945000 -0.235244 -0.190344 
1.960000 -0.219956 -0.174491 
1.975000 -0.205490 -0.159631 
1.990000 -0.191808 -0.145724 
2.005000 -0.178876 -0.132731 
2.020000 -0.166656 -0.120613 
2.035000 -0.155117 -0.109330 
2.050000 -0.144224 -0.098845 
2.065000 -0.133946 -0.089120 
2.080000 -0.124253 -0.080118 
2.095000 -0.115115 -0.071801 
2.110000 -0.106504 -0.064136 
2.125000 -0.098393 -0.057086 
2.140000 -0.090757 -0.050619 
2.155000 -0.083570 -0.044701 
2.170000 -0.076809 -0.039302 
2.185000 -0.070452 -0.034389 
2.200000 -0.064477 -0.029933 
2.215000 -0.058863 -0.025907 
2.230000 -0.053591 -0.022281 
2.245000 -0.048644 -0.019030 
2.260000 -0.044002 -0.016128 
2.275000 -0.039650 -0.013550 
2.290000 -0.035571 -0.011273 
2.305000 -0.031751 -0.009275 
2.320000 -0.028174 -0.007533 
2.335000 -0.024828 -0.006027 
2.350000 -0.021700 -0.004737 
2.365000 -0.018778 -0.003645 
2.380000 -0.016049 -0.002732 
2.395000 -0.013503 -0.001982 
2.410000 -0.011130 -0.001377 
2.425000 -0.008920 -0.000903 
2.440000 -0.006863 -0.000545 
2.455000 -0.004950 -0.000288 
2.470000 -0.003174 -0.000120 
2.485000 -0.001527 -0.000028 
2.500000 -0.000000 -0.000000 
