En_tot Ep Ec 
13.960742 1.220154 12.740588 
14.285809 9.350454 4.935355 
14.316442 7.345956 6.970485 
14.333047 8.549606 5.783441 
14.049094 2.441722 11.607372 
14.144643 6.655894 7.488749 
14.321074 7.272649 7.048425 
14.263660 7.462873 6.800787 
14.154903 4.406446 9.748457 
14.226797 9.351358 4.875439 
14.135753 1.860235 12.275519 
14.364845 11.406391 2.958455 
14.331180 6.996043 7.335137 
14.237167 5.766267 8.470901 
14.204490 9.390694 4.813796 
14.160467 2.454354 11.706113 
14.363379 9.731605 4.631773 
14.321597 6.096539 8.225058 
14.193934 5.022999 9.170935 
14.182706 5.146863 9.035843 
14.166278 7.085176 7.081101 
14.230536 4.007660 10.222877 
14.085422 7.828006 6.257415 
14.315471 6.819497 7.495974 
14.298326 9.875181 4.423145 
14.138579 5.261571 8.877009 
14.371026 10.326755 4.044271 
14.331839 8.836993 5.494846 
14.103334 6.057940 8.045394 
14.385992 7.756171 6.629820 
14.269741 6.870172 7.399569 
14.208758 7.778681 6.430077 
14.190575 5.370906 8.819669 
14.073779 1.974712 12.099067 
14.143366 4.539882 9.603484 
14.194866 6.131313 8.063553 
14.269095 4.725423 9.543672 
14.184406 6.224571 7.959835 
14.235572 7.686927 6.548644 
14.042133 5.298234 8.743899 
14.382771 9.320254 5.062517 
14.395774 8.678969 5.716806 
14.245715 7.103936 7.141779 
14.319858 9.980391 4.339467 
14.224657 7.401859 6.822798 
14.117805 7.045987 7.071817 
14.239388 4.537685 9.701702 
14.379177 8.576505 5.802672 
14.229073 4.093433 10.135640 
14.143766 3.668883 10.474883 
14.154112 3.093228 11.060883 
14.159294 6.730311 7.428983 
14.219834 3.907873 10.311961 
14.259134 8.158361 6.100774 
14.181630 3.336124 10.845506 
14.264592 7.778674 6.485918 
14.236722 6.479208 7.757515 
14.149790 4.192044 9.957746 
14.508890 11.591715 2.917176 
14.248755 4.165562 10.083193 
14.297171 10.256395 4.040776 
14.200215 2.552204 11.648011 
14.039382 6.350058 7.689325 
14.157856 3.987993 10.169863 
14.201174 7.384540 6.816634 
14.359749 7.599926 6.759823 
14.509409 9.659986 4.849422 
14.102537 1.811614 12.290922 
14.288428 7.984821 6.303608 
14.187884 4.713482 9.474402 
14.189541 5.989006 8.200536 
14.298527 8.041894 6.256633 
14.348899 7.719382 6.629517 
14.061996 7.308571 6.753425 
14.119453 2.012451 12.107001 
14.244671 7.512503 6.732168 
14.277714 4.447989 9.829724 
14.140804 4.413225 9.727579 
14.169149 3.805186 10.363963 
14.091118 4.177959 9.913159 
14.186518 7.821973 6.364545 
14.041660 6.421373 7.620287 
14.279258 7.752052 6.527206 
14.295336 9.543381 4.751955 
14.347275 9.919263 4.428011 
14.089328 6.348186 7.741142 
14.131464 5.325146 8.806318 
14.177791 6.853724 7.324067 
14.207557 4.545925 9.661632 
14.153627 4.196034 9.957593 
14.198139 4.823944 9.374195 
14.233131 3.942673 10.290458 
14.179001 4.134808 10.044193 
14.274213 7.529711 6.744502 
14.274082 5.031875 9.242207 
14.280313 10.524357 3.755957 
14.299879 8.176655 6.123224 
14.360199 8.112426 6.247773 
14.296077 8.778009 5.518068 
14.310794 6.336816 7.973979 
14.309289 10.652981 3.656308 
14.230853 4.038259 10.192594 
13.908791 6.079231 7.829560 
14.169993 4.542671 9.627323 
14.106500 5.094991 9.011508 
14.204875 3.287524 10.917351 
14.142955 4.818747 9.324208 
14.291498 4.793209 9.498288 
14.181271 8.470443 5.710828 
14.194381 2.467966 11.726415 
14.241621 9.101042 5.140579 
14.385004 9.038397 5.346607 
14.224275 6.462231 7.762044 
14.267354 9.332937 4.934417 
14.197255 3.165687 11.031569 
14.253980 9.156705 5.097275 
14.236323 3.628884 10.607438 
14.336321 9.322732 5.013590 
14.184262 3.888083 10.296178 
14.080365 4.431500 9.648865 
14.164858 2.309784 11.855074 
14.064733 6.247232 7.817501 
14.348869 6.524349 7.824519 
14.182937 8.423918 5.759019 
14.073335 2.148988 11.924348 
14.390171 10.014007 4.376164 
